trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
277,False,"{'e': 0.0067110490428655, 'a': 0.54}",25,11,-12.451114840810927,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
278,False,"{'e': 0.006591330856147967, 'a': 0.54}",25,0,-46.93869321997567,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
279,False,"{'e': 0.006473748318289405, 'a': 0.54}",20,12,-27.22216707430761,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
280,False,"{'e': 0.006358263331518937, 'a': 0.54}",25,16,-29.74492943189138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
281,False,"{'e': 0.0062448384776905685, 'a': 0.54}",25,17,15.181275831092837,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'e': 0.006133437006159409, 'a': 0.54}",20,3,27.52251878696552,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'e': 0.006024022821874132, 'a': 0.54}",25,0,36.85955470324365,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
284,False,"{'e': 0.005916560473681857, 'a': 0.54}",20,0,33.37544866948397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
285,False,"{'e': 0.005811015142841691, 'a': 0.54}",25,14,-24.314006408500372,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
286,False,"{'e': 0.005707352631743114, 'a': 0.54}",20,0,11.656591226283478,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
287,False,"{'e': 0.005605539352825682, 'a': 0.54}",20,16,5.641881180088387,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'e': 0.00550554231769635, 'a': 0.54}",20,10,12.739990260169485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'e': 0.00540732912644096, 'a': 0.54}",30,10,33.28064908511084,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'e': 0.005310867957126362, 'a': 0.54}",20,7,21.274885411757698,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'e': 0.005216127555489849, 'a': 0.54}",25,16,5.167143609840124,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
292,False,"{'e': 0.005123077224812486, 'a': 0.54}",20,7,21.129084112910647,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'e': 0.005031686815973131, 'a': 0.54}",20,9,23.503742882264724,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'e': 0.004941926717679822, 'a': 0.54}",30,11,35.910985011958175,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'e': 0.004853767846875483, 'a': 0.54}",20,6,23.632445365065056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'e': 0.004767181639314752, 'a': 0.54}",30,17,26.005998247783204,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'e': 0.00468214004030891, 'a': 0.54}",20,0,7.6212160323258145,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
298,False,"{'e': 0.004598615495635935, 'a': 0.54}",20,5,18.41309692566982,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'e': 0.00451658094261267, 'a': 0.54}",35,17,34.6284601827314,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'e': 0.004436009801326289, 'a': 0.54}",25,8,27.771828128266275,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'e': 0.004356875966022165, 'a': 0.54}",20,0,31.627737299483996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
302,False,"{'e': 0.004279153796645399, 'a': 0.54}",25,8,25.16417966172382,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'e': 0.004202818110533188, 'a': 0.54}",20,2,27.744758957973307,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
